"deletion_rate"	"predictability_weight"	"Noun"	"Condition"	"SurprisalLogLikRatio"
"85"	0.1	0.25	"recognition"	"g"	-20.6684393286705
"86"	0.1	0.25	"recognition"	"u"	-11.5811313708623
"87"	0.1	0.25	"remark"	"g"	-19.2119697431723
"88"	0.1	0.25	"remark"	"u"	-11.379090321064
"89"	0.1	0.25	"reminder"	"g"	-18.3775992592176
"90"	0.1	0.25	"reminder"	"u"	-10.7390054980914
"91"	0.1	0.25	"report"	"g"	-19.5901041229566
"92"	0.1	0.25	"report"	"u"	-11.7610794623693
"93"	0.1	0.25	"revelation"	"g"	-18.6430816650391
"94"	0.1	0.25	"revelation"	"u"	-11.2366029540698
"95"	0.1	0.25	"rumor"	"g"	-19.4898908038934
"96"	0.1	0.25	"rumor"	"u"	-11.4936666409174
"97"	0.1	0.25	"sense"	"g"	-18.8196989397208
"98"	0.1	0.25	"sense"	"u"	-11.1712514678637
"99"	0.1	0.25	"speculation"	"g"	-20.0981212258339
"100"	0.1	0.25	"speculation"	"u"	-11.8017235120138
"101"	0.1	0.25	"statement"	"g"	-20.5642623106639
"102"	0.1	0.25	"statement"	"u"	-11.473083627224
"103"	0.1	0.25	"story"	"g"	-18.8864333430926
"104"	0.1	0.25	"story"	"u"	-11.3119983593623
"105"	0.1	0.25	"suggestion"	"g"	-20.7332731882731
"106"	0.1	0.25	"suggestion"	"u"	-11.9415084838867
"107"	0.1	0.25	"suspicion"	"g"	-18.7623845636845
"108"	0.1	0.25	"suspicion"	"u"	-11.6422317345937
"109"	0.1	0.25	"thought"	"g"	-19.274079054594
"110"	0.1	0.25	"thought"	"u"	-11.825731130441
"111"	0.1	0.25	"truth"	"g"	-18.8323546747367
"112"	0.1	0.25	"truth"	"u"	-11.2988442897797
"113"	0.1	0.25	"understanding"	"g"	-19.8406385282675
"114"	0.1	0.25	"understanding"	"u"	-11.500430337588
"115"	0.1	0.25	"view"	"g"	-20.0661926567554
"116"	0.1	0.25	"view"	"u"	-11.3751328110695
"117"	0.1	0.5	"accusation"	"g"	-18.0707044303417
"118"	0.1	0.5	"accusation"	"u"	-11.9318383455277
"119"	0.1	0.5	"admission"	"g"	-18.3992692828178
"120"	0.1	0.5	"admission"	"u"	-12.0047853112221
"121"	0.1	0.5	"allegation"	"g"	-17.1055138111115
"122"	0.1	0.5	"allegation"	"u"	-11.1821234941482
"123"	0.1	0.5	"announcement"	"g"	-18.3171925842762
"124"	0.1	0.5	"announcement"	"u"	-10.6486977458
"125"	0.1	0.5	"assertion"	"g"	-18.3177378773689
"126"	0.1	0.5	"assertion"	"u"	-11.1063089489937
"127"	0.1	0.5	"assessment"	"g"	-18.7815928161144
"128"	0.1	0.5	"assessment"	"u"	-11.5102645277977
"129"	0.1	0.5	"assumption"	"g"	-18.2875986099243
"130"	0.1	0.5	"assumption"	"u"	-11.0943086862564
"131"	0.1	0.5	"assurance"	"g"	-18.218586564064
"132"	0.1	0.5	"assurance"	"u"	-11.1078767299652
"133"	0.1	0.5	"belief"	"g"	-17.6918134093285
"134"	0.1	0.5	"belief"	"u"	-10.9433410286903
"135"	0.1	0.5	"certainty"	"g"	-17.5283634066582
"136"	0.1	0.5	"certainty"	"u"	-10.7811279416084
"137"	0.1	0.5	"claim"	"g"	-17.359814196825
"138"	0.1	0.5	"claim"	"u"	-11.656016421318
"139"	0.1	0.5	"complaint"	"g"	-18.1373614668846
"140"	0.1	0.5	"complaint"	"u"	-11.8290563941002
"141"	0.1	0.5	"concern"	"g"	-18.5914690196514
"142"	0.1	0.5	"concern"	"u"	-11.095561337471
"143"	0.1	0.5	"conclusion"	"g"	-18.2255571484566
"144"	0.1	0.5	"conclusion"	"u"	-11.05410374403
"145"	0.1	0.5	"confirmation"	"g"	-17.8380378484726
"146"	0.1	0.5	"confirmation"	"u"	-11.079209280014
"147"	0.1	0.5	"conjecture"	"g"	-17.9257777631283
"148"	0.1	0.5	"conjecture"	"u"	-10.6859781861305
"149"	0.1	0.5	"contention"	"g"	-17.6615264713764
"150"	0.1	0.5	"contention"	"u"	-11.3192912459374
"151"	0.1	0.5	"conviction"	"g"	-18.6689871549607
"152"	0.1	0.5	"conviction"	"u"	-11.4274736762047
"153"	0.1	0.5	"declaration"	"g"	-18.0157199501991
"154"	0.1	0.5	"declaration"	"u"	-10.8204959750176
"155"	0.1	0.5	"disclosure"	"g"	-17.7716445326805
"156"	0.1	0.5	"disclosure"	"u"	-11.7585163235664
"157"	0.1	0.5	"evidence"	"g"	-16.9855836629867
"158"	0.1	0.5	"evidence"	"u"	-11.9485049366951
"159"	0.1	0.5	"fact"	"g"	-18.5649515986443
"160"	0.1	0.5	"fact"	"u"	-10.7333828926086
"161"	0.1	0.5	"feeling"	"g"	-17.7391050457954
"162"	0.1	0.5	"feeling"	"u"	-10.5303092122078
"163"	0.1	0.5	"finding"	"g"	-18.3043651580811
"164"	0.1	0.5	"finding"	"u"	-11.0662929534912
"165"	0.1	0.5	"guess"	"g"	-16.8614739775658
"166"	0.1	0.5	"guess"	"u"	-10.6596301913261
"167"	0.1	0.5	"idea"	"g"	-18.2583066523075
"168"	0.1	0.5	"idea"	"u"	-11.0071405291557
"169"	0.1	0.5	"impression"	"g"	-18.2450336515903
"170"	0.1	0.5	"impression"	"u"	-11.0506255149841
"171"	0.1	0.5	"indication"	"g"	-17.8485977351665
"172"	0.1	0.5	"indication"	"u"	-10.8350045800209
"173"	0.1	0.5	"information"	"g"	-17.7337870299816
"174"	0.1	0.5	"information"	"u"	-11.5215487599373
"175"	0.1	0.5	"insinuation"	"g"	-16.1015958786011
"176"	0.1	0.5	"insinuation"	"u"	-10.8011888980866
"177"	0.1	0.5	"intuition"	"g"	-17.9190194308758
"178"	0.1	0.5	"intuition"	"u"	-11.3623346805573
"179"	0.1	0.5	"message"	"g"	-17.9871564805508
"180"	0.1	0.5	"message"	"u"	-11.6018687009812
"181"	0.1	0.5	"myth"	"g"	-16.977626979351
"182"	0.1	0.5	"myth"	"u"	-11.1265634417534
"183"	0.1	0.5	"news"	"g"	-16.5496381819248
"184"	0.1	0.5	"news"	"u"	-10.4638185024261
"185"	0.1	0.5	"notion"	"g"	-18.1469203829765
"186"	0.1	0.5	"notion"	"u"	-11.1142668247223
"187"	0.1	0.5	"observation"	"g"	-17.4310274422169
"188"	0.1	0.5	"observation"	"u"	-10.6642141461372
"189"	0.1	0.5	"opinion"	"g"	-18.4307475090027
"190"	0.1	0.5	"opinion"	"u"	-11.6767333865166
"191"	0.1	0.5	"perception"	"g"	-18.5599377155304
"192"	0.1	0.5	"perception"	"u"	-11.3403751373291
"193"	0.1	0.5	"prediction"	"g"	-18.8612090945244
"194"	0.1	0.5	"prediction"	"u"	-11.6263767600059
"195"	0.1	0.5	"presumption"	"g"	-18.079910993576
"196"	0.1	0.5	"presumption"	"u"	-11.0127034902573
"197"	0.1	0.5	"proof"	"g"	-18.6324734091759
"198"	0.1	0.5	"proof"	"u"	-11.3116598248482
"199"	0.1	0.5	"realization"	"g"	-17.6104629635811
"200"	0.1	0.5	"realization"	"u"	-10.9803266048431
"201"	0.1	0.5	"recognition"	"g"	-18.1823811233044
"202"	0.1	0.5	"recognition"	"u"	-11.3913758516312
"203"	0.1	0.5	"remark"	"g"	-17.1326635479927
"204"	0.1	0.5	"remark"	"u"	-11.1683518409729
"205"	0.1	0.5	"reminder"	"g"	-17.0378514230251
"206"	0.1	0.5	"reminder"	"u"	-10.4839936614036
"207"	0.1	0.5	"report"	"g"	-17.328047811985
"208"	0.1	0.5	"report"	"u"	-11.0358241319656
"209"	0.1	0.5	"revelation"	"g"	-17.1339108943939
"210"	0.1	0.5	"revelation"	"u"	-11.2375691056251
"211"	0.1	0.5	"rumor"	"g"	-17.2177808582783
"212"	0.1	0.5	"rumor"	"u"	-10.8385642886162
"213"	0.1	0.5	"sense"	"g"	-16.9253275990486
"214"	0.1	0.5	"sense"	"u"	-10.8387989521027
"215"	0.1	0.5	"speculation"	"g"	-17.8957084715367
"216"	0.1	0.5	"speculation"	"u"	-11.2358383655548
"217"	0.1	0.5	"statement"	"g"	-18.1867814660072
"218"	0.1	0.5	"statement"	"u"	-11.0738433122635
"219"	0.1	0.5	"story"	"g"	-17.5553177297115
"220"	0.1	0.5	"story"	"u"	-10.5924476504326
"221"	0.1	0.5	"suggestion"	"g"	-18.5495738983155
"222"	0.1	0.5	"suggestion"	"u"	-11.2126124620438
"223"	0.1	0.5	"suspicion"	"g"	-16.0133802592754
"224"	0.1	0.5	"suspicion"	"u"	-11.1809953570366
"225"	0.1	0.5	"thought"	"g"	-16.9566644132138
"226"	0.1	0.5	"thought"	"u"	-11.3997892856598
"227"	0.1	0.5	"truth"	"g"	-17.3538954854011
"228"	0.1	0.5	"truth"	"u"	-11.2125122666359
"229"	0.1	0.5	"understanding"	"g"	-17.9445846378803
"230"	0.1	0.5	"understanding"	"u"	-11.0447186946869
"231"	0.1	0.5	"view"	"g"	-18.2945595383644
"232"	0.1	0.5	"view"	"u"	-11.264769744873
"233"	0.1	0.75	"accusation"	"g"	-17.4232493489981
"234"	0.1	0.75	"accusation"	"u"	-11.8925407648086
"235"	0.1	0.75	"admission"	"g"	-18.1859452426434
"236"	0.1	0.75	"admission"	"u"	-12.0383696079254
"237"	0.1	0.75	"allegation"	"g"	-16.6973351687193
"238"	0.1	0.75	"allegation"	"u"	-11.1482496976852
"239"	0.1	0.75	"announcement"	"g"	-18.510040640831
"240"	0.1	0.75	"announcement"	"u"	-10.5776206672192
"241"	0.1	0.75	"assertion"	"g"	-18.3705962598324
"242"	0.1	0.75	"assertion"	"u"	-10.9420961260795
"243"	0.1	0.75	"assessment"	"g"	-18.2176845818758
"244"	0.1	0.75	"assessment"	"u"	-11.5130913674831
"245"	0.1	0.75	"assumption"	"g"	-18.013006657362
"246"	0.1	0.75	"assumption"	"u"	-11.0498687148094
"247"	0.1	0.75	"assurance"	"g"	-17.5943835377693
"248"	0.1	0.75	"assurance"	"u"	-11.0778200447559
"249"	0.1	0.75	"belief"	"g"	-17.3642936646939
"250"	0.1	0.75	"belief"	"u"	-11.0331818282604
"251"	0.1	0.75	"certainty"	"g"	-16.5827128738165
"252"	0.1	0.75	"certainty"	"u"	-10.9197210490703
"253"	0.1	0.75	"claim"	"g"	-17.5842462927103
"254"	0.1	0.75	"claim"	"u"	-11.4099682688713
"255"	0.1	0.75	"complaint"	"g"	-18.0181466788054
"256"	0.1	0.75	"complaint"	"u"	-11.6391081035137
"257"	0.1	0.75	"concern"	"g"	-18.2600291371345
"258"	0.1	0.75	"concern"	"u"	-11.0800549805164
"259"	0.1	0.75	"conclusion"	"g"	-17.9577636867762
"260"	0.1	0.75	"conclusion"	"u"	-11.0966687917709
"261"	0.1	0.75	"confirmation"	"g"	-17.6433769911528
"262"	0.1	0.75	"confirmation"	"u"	-11.2293637812138
"263"	0.1	0.75	"conjecture"	"g"	-17.515166118741
"264"	0.1	0.75	"conjecture"	"u"	-10.7661101043224
"265"	0.1	0.75	"contention"	"g"	-17.7472397387028
"266"	0.1	0.75	"contention"	"u"	-11.231623929739
"267"	0.1	0.75	"conviction"	"g"	-18.0866576731205
"268"	0.1	0.75	"conviction"	"u"	-11.4226894497871
"269"	0.1	0.75	"declaration"	"g"	-17.5628992021084
"270"	0.1	0.75	"declaration"	"u"	-10.9155373394489
"271"	0.1	0.75	"disclosure"	"g"	-17.7355933636427
"272"	0.1	0.75	"disclosure"	"u"	-11.6886539876461
"273"	0.1	0.75	"evidence"	"g"	-17.2077137827873
"274"	0.1	0.75	"evidence"	"u"	-11.8317027509213
"275"	0.1	0.75	"fact"	"g"	-18.5427638590336
"276"	0.1	0.75	"fact"	"u"	-10.7867558121681
"277"	0.1	0.75	"feeling"	"g"	-18.0754184126854
"278"	0.1	0.75	"feeling"	"u"	-10.417783421278
"279"	0.1	0.75	"finding"	"g"	-17.5993655025959
"280"	0.1	0.75	"finding"	"u"	-11.142573428154
"281"	0.1	0.75	"guess"	"g"	-16.5939989238978
"282"	0.1	0.75	"guess"	"u"	-10.6964717924595
"283"	0.1	0.75	"idea"	"g"	-18.130560785532
"284"	0.1	0.75	"idea"	"u"	-11.0670608401299
"285"	0.1	0.75	"impression"	"g"	-17.953188419342
"286"	0.1	0.75	"impression"	"u"	-10.8115662157536
"287"	0.1	0.75	"indication"	"g"	-17.3967035710812
"288"	0.1	0.75	"indication"	"u"	-10.7749142765999
"289"	0.1	0.75	"information"	"g"	-17.0720619261265
"290"	0.1	0.75	"information"	"u"	-11.4748436331749
"291"	0.1	0.75	"insinuation"	"g"	-16.0064084082842
"292"	0.1	0.75	"insinuation"	"u"	-10.5211717307568
"293"	0.1	0.75	"intuition"	"g"	-18.0559681952
"294"	0.1	0.75	"intuition"	"u"	-11.1548898637295
"295"	0.1	0.75	"message"	"g"	-18.1265549212694
"296"	0.1	0.75	"message"	"u"	-11.3185303628445
"297"	0.1	0.75	"myth"	"g"	-16.9069363176822
"298"	0.1	0.75	"myth"	"u"	-10.909136068821
"299"	0.1	0.75	"news"	"g"	-17.1046400219202
"300"	0.1	0.75	"news"	"u"	-10.5101266920567
"301"	0.1	0.75	"notion"	"g"	-18.1008360981941
"302"	0.1	0.75	"notion"	"u"	-11.0939754962921
"303"	0.1	0.75	"observation"	"g"	-17.2268881499767
"304"	0.1	0.75	"observation"	"u"	-10.6333932101727
"305"	0.1	0.75	"opinion"	"g"	-17.9919911623001
"306"	0.1	0.75	"opinion"	"u"	-11.4465876638889
"307"	0.1	0.75	"perception"	"g"	-17.9645938128233
"308"	0.1	0.75	"perception"	"u"	-11.3837758421898
"309"	0.1	0.75	"prediction"	"g"	-18.3893569856882
"310"	0.1	0.75	"prediction"	"u"	-11.5864645063877
"311"	0.1	0.75	"presumption"	"g"	-17.7602714896202
"312"	0.1	0.75	"presumption"	"u"	-11.0667205870151
"313"	0.1	0.75	"proof"	"g"	-18.1179260760546
"314"	0.1	0.75	"proof"	"u"	-11.2052628219128
"315"	0.1	0.75	"realization"	"g"	-17.7041970193386
"316"	0.1	0.75	"realization"	"u"	-11.1659789502621
"317"	0.1	0.75	"recognition"	"g"	-18.1056088507176
"318"	0.1	0.75	"recognition"	"u"	-11.161491972208
"319"	0.1	0.75	"remark"	"g"	-16.751969769597
"320"	0.1	0.75	"remark"	"u"	-10.8111408770084
"321"	0.1	0.75	"reminder"	"g"	-16.6331149935722
"322"	0.1	0.75	"reminder"	"u"	-10.5924418985844
"323"	0.1	0.75	"report"	"g"	-17.383736088872
"324"	0.1	0.75	"report"	"u"	-11.0668821156025
"325"	0.1	0.75	"revelation"	"g"	-16.6708674877882
"326"	0.1	0.75	"revelation"	"u"	-11.0612416088581
"327"	0.1	0.75	"rumor"	"g"	-17.3841529935598
"328"	0.1	0.75	"rumor"	"u"	-11.048866134882
"329"	0.1	0.75	"sense"	"g"	-16.8620761036873
"330"	0.1	0.75	"sense"	"u"	-10.7006450116634
"331"	0.1	0.75	"speculation"	"g"	-17.1015634387732
"332"	0.1	0.75	"speculation"	"u"	-11.2616912841797
"333"	0.1	0.75	"statement"	"g"	-18.2042882442475
"334"	0.1	0.75	"statement"	"u"	-11.2126494169235
"335"	0.1	0.75	"story"	"g"	-16.9299012720585
"336"	0.1	0.75	"story"	"u"	-10.7738689005375
"337"	0.1	0.75	"suggestion"	"g"	-18.2517057806253
"338"	0.1	0.75	"suggestion"	"u"	-11.3129420697689
"339"	0.1	0.75	"suspicion"	"g"	-16.5250016599894
"340"	0.1	0.75	"suspicion"	"u"	-11.0342613577843
"341"	0.1	0.75	"thought"	"g"	-17.0860172659159
"342"	0.1	0.75	"thought"	"u"	-11.3194194853306
"343"	0.1	0.75	"truth"	"g"	-17.2440876662731
"344"	0.1	0.75	"truth"	"u"	-11.102965426445
"345"	0.1	0.75	"understanding"	"g"	-17.6156231611967
"346"	0.1	0.75	"understanding"	"u"	-11.0321646153927
"347"	0.1	0.75	"view"	"g"	-17.9910998642444
"348"	0.1	0.75	"view"	"u"	-11.1753866493702
"349"	0.1	1	"accusation"	"g"	-16.5902203679085
"350"	0.1	1	"accusation"	"u"	-12.0722757339477
"351"	0.1	1	"admission"	"g"	-17.1558885335922
"352"	0.1	1	"admission"	"u"	-11.9021182775497
"353"	0.1	1	"allegation"	"g"	-15.5649774074555
"354"	0.1	1	"allegation"	"u"	-10.7174738168716
"355"	0.1	1	"announcement"	"g"	-17.2954200148582
"356"	0.1	1	"announcement"	"u"	-10.3795841693878
"357"	0.1	1	"assertion"	"g"	-16.9728629589081
"358"	0.1	1	"assertion"	"u"	-10.3549789190292
"359"	0.1	1	"assessment"	"g"	-17.5593874812126
"360"	0.1	1	"assessment"	"u"	-11.2048066854477
"361"	0.1	1	"assumption"	"g"	-17.0756900906563
"362"	0.1	1	"assumption"	"u"	-10.860157251358
"363"	0.1	1	"assurance"	"g"	-17.1514351606369
"364"	0.1	1	"assurance"	"u"	-10.5104051828384
"365"	0.1	1	"belief"	"g"	-16.5698484539986
"366"	0.1	1	"belief"	"u"	-10.8576463699341
"367"	0.1	1	"certainty"	"g"	-15.5242300629616
"368"	0.1	1	"certainty"	"u"	-10.6207430124283
"369"	0.1	1	"claim"	"g"	-16.4144831418991
"370"	0.1	1	"claim"	"u"	-11.410237622261
"371"	0.1	1	"complaint"	"g"	-17.0163599133491
"372"	0.1	1	"complaint"	"u"	-11.4976234436035
"373"	0.1	1	"concern"	"g"	-16.9051439642906
"374"	0.1	1	"concern"	"u"	-11.0212656259537
"375"	0.1	1	"conclusion"	"g"	-17.0162493824959
"376"	0.1	1	"conclusion"	"u"	-10.8321033477783
"377"	0.1	1	"confirmation"	"g"	-16.0982775449753
"378"	0.1	1	"confirmation"	"u"	-10.7957830905914
"379"	0.1	1	"conjecture"	"g"	-16.677221095562
"380"	0.1	1	"conjecture"	"u"	-10.7395213127136
"381"	0.1	1	"contention"	"g"	-16.6291388273239
"382"	0.1	1	"contention"	"u"	-10.9178813457489
"383"	0.1	1	"conviction"	"g"	-16.8039456963539
"384"	0.1	1	"conviction"	"u"	-11.370796084404
"385"	0.1	1	"declaration"	"g"	-16.3372834563255
"386"	0.1	1	"declaration"	"u"	-10.3707665681839
"387"	0.1	1	"disclosure"	"g"	-16.8401776432991
"388"	0.1	1	"disclosure"	"u"	-11.3558116674423
"389"	0.1	1	"evidence"	"g"	-15.9989809036255
"390"	0.1	1	"evidence"	"u"	-11.8181577205658
"391"	0.1	1	"fact"	"g"	-17.5446224689484
"392"	0.1	1	"fact"	"u"	-10.1916917562485
"393"	0.1	1	"feeling"	"g"	-17.2493753552437
"394"	0.1	1	"feeling"	"u"	-10.2869295835495
"395"	0.1	1	"finding"	"g"	-17.0557662248612
"396"	0.1	1	"finding"	"u"	-10.8212782859802
"397"	0.1	1	"guess"	"g"	-16.1227239847183
"398"	0.1	1	"guess"	"u"	-10.2596257209778
"399"	0.1	1	"idea"	"g"	-17.0384810805321
"400"	0.1	1	"idea"	"u"	-10.5678172588348
"401"	0.1	1	"impression"	"g"	-16.8613779425621
"402"	0.1	1	"impression"	"u"	-10.7576500415802
"403"	0.1	1	"indication"	"g"	-16.3833297014236
"404"	0.1	1	"indication"	"u"	-10.5747048616409
"405"	0.1	1	"information"	"g"	-16.854769051075
"406"	0.1	1	"information"	"u"	-11.3903050899506
"407"	0.1	1	"insinuation"	"g"	-15.1440611362457
"408"	0.1	1	"insinuation"	"u"	-10.1885202169418
"409"	0.1	1	"intuition"	"g"	-16.916406750679
"410"	0.1	1	"intuition"	"u"	-10.8415220022202
"411"	0.1	1	"message"	"g"	-17.3779301524162
"412"	0.1	1	"message"	"u"	-11.3541605472565
"413"	0.1	1	"myth"	"g"	-16.2570695877075
"414"	0.1	1	"myth"	"u"	-10.8565083742142
"415"	0.1	1	"news"	"g"	-16.4136883854866
"416"	0.1	1	"news"	"u"	-10.2365694761276
"417"	0.1	1	"notion"	"g"	-17.0060622572899
"418"	0.1	1	"notion"	"u"	-11.0079173326492
"419"	0.1	1	"observation"	"g"	-16.0634295344353
"420"	0.1	1	"observation"	"u"	-10.1824559926987
"421"	0.1	1	"opinion"	"g"	-16.8144197583199
"422"	0.1	1	"opinion"	"u"	-11.319878077507
"423"	0.1	1	"perception"	"g"	-17.0453750967979
"424"	0.1	1	"perception"	"u"	-11.4029960393906
"425"	0.1	1	"prediction"	"g"	-17.7297916769981
"426"	0.1	1	"prediction"	"u"	-11.3142375469208
"427"	0.1	1	"presumption"	"g"	-16.7158961772919
"428"	0.1	1	"presumption"	"u"	-10.9972896814346
"429"	0.1	1	"proof"	"g"	-17.3766064405441
"430"	0.1	1	"proof"	"u"	-11.1118650436401
"431"	0.1	1	"realization"	"g"	-16.251012635231
"432"	0.1	1	"realization"	"u"	-11.0040120601654
"433"	0.1	1	"recognition"	"g"	-16.5015198111534
"434"	0.1	1	"recognition"	"u"	-11.0690303087234
"435"	0.1	1	"remark"	"g"	-15.7449100613594
"436"	0.1	1	"remark"	"u"	-10.9162855625153
"437"	0.1	1	"reminder"	"g"	-16.02238894701
"438"	0.1	1	"reminder"	"u"	-10.530747795105
"439"	0.1	1	"report"	"g"	-15.7205550074577
"440"	0.1	1	"report"	"u"	-10.5203790664673
"441"	0.1	1	"revelation"	"g"	-16.143116903305
"442"	0.1	1	"revelation"	"u"	-10.938084769249
"443"	0.1	1	"rumor"	"g"	-15.7102167129516
"444"	0.1	1	"rumor"	"u"	-10.7455312728882
"445"	0.1	1	"sense"	"g"	-16.0425209999084
"446"	0.1	1	"sense"	"u"	-10.4686201572418
"447"	0.1	1	"speculation"	"g"	-15.723870909214
"448"	0.1	1	"speculation"	"u"	-10.6731394290924
"449"	0.1	1	"statement"	"g"	-16.8400970578193
"450"	0.1	1	"statement"	"u"	-11.1895318984985
"451"	0.1	1	"story"	"g"	-16.5476684212685
"452"	0.1	1	"story"	"u"	-10.4802364349365
"453"	0.1	1	"suggestion"	"g"	-16.6170484304428
"454"	0.1	1	"suggestion"	"u"	-11.0064807891846
"455"	0.1	1	"suspicion"	"g"	-14.8310709118843
"456"	0.1	1	"suspicion"	"u"	-10.7375255584717
"457"	0.1	1	"thought"	"g"	-16.0091554403305
"458"	0.1	1	"thought"	"u"	-11.2662928104401
"459"	0.1	1	"truth"	"g"	-16.2438434362412
"460"	0.1	1	"truth"	"u"	-10.929328751564
"461"	0.1	1	"understanding"	"g"	-17.149902176857
"462"	0.1	1	"understanding"	"u"	-10.4730533361435
"463"	0.1	1	"view"	"g"	-16.6880335211754
"464"	0.1	1	"view"	"u"	-11.1704601287842
"465"	0.2	0	"accusation"	"g"	-14.1888017058373
